track_title;track_n;album;year;lyric
Freight Train Blues;11;Bob Dylan;1962;I was born in Dixie in a boomer shed Just a little shanty by the railroad track Freight train was it taught me how to cry The holler of the driver was my lullaby I got the freight train blues Oh Lord mama, I got them in the bottom of my rambling shoes And when the whistle blows I got to go baby, don't you know Well, it looks like I'm never going to lose the freight train blues Well, my daddy was a fireman and my mama-ha She was the only daughter of an engineer My sweetheart was a brakeman and it ain't no joke Seems a waste to get a good man broke I got the freight train blues Oh Lord mama, I got them in the bottom of my rambling shoes And when the whistle blows I got to go mama, don't you know Well, it looks like I'm never going to lose the freight train blues Well, the only thing that makes me laugh again Is a southbound whistle on a southbound train Every place I want to go I never can go Because you know I got the freight train blues Oh Lord mama, I got them in the bottom of my rambling shoes
Song to Woody;12;Bob Dylan;1962;I'm out here a thousand miles from my home Walking a road other men have gone down I'm seeing your world of people and things Your paupers and peasants and princes and kings Hey, hey, Woody Guthrie, I wrote you a song About a funny old world that's a-coming along Seems sick and it's hungry, it's tired and it's torn It looks like it's a-dying and it's hardly been born Hey, Woody Guthrie, but I know that you know All the things that I'm a-saying an a-many times more I'm a-singing you the song, but I can't sing enough Because there's not many men that done the things that you've done Here's to Cisco and Sonny and Leadbelly too And to all the good people that traveled with you Here's to the hearts and the hands of the men That come with the dust and are gone with the wind I'm a-leaving tomorrow, but I could leave today Somewhere down the road someday The very last thing that I'd want to do Is to say I've been hitting some hard traveling too
See That My Grave Is Kept Clean;13;Bob Dylan;1962;Well there's one kind of favor I'll ask for you Well there's one kind of favor I'll ask for you There's just one kind of favor I'll ask for you You can see that my grave is kept clean And there's two white horses following me And there's two white horses following me I got two white horses following me Waiting on my burying ground Did you ever hear that coffin sound Did you ever hear that coffin sound Did you ever hear that coffin sound Means another poor boy is under the ground Did you ever hear them church bells toll Did you ever hear them church bells toll Did you ever hear them church bells toll Means another poor boy is dead and gone And my heart stopped beating and my hands turned cold And my heart stopped beating and my hands turned cold And my heart stopped beating and my hands turned cold And I believe what the father told And there's one last favor I'll ask for you And there's one last favor I'll ask for you And just one last flavor I'll ask for you You can see that my grave is kept clean
Blowin' in the Wind;1;The Freewheelin' Bob Dylan;1963;How many roads must a man walk down Before you call him a man? How many seas must a white dove sail Before she sleeps in the sand? Yes, and how many times must the cannonballs fly Before they're forever banned? The answer, my friend, is blowin' in the wind The answer is blowin' in the wind Yes, and how many years can a mountain exist Before it is washed to the sea? Yes, and how many years can some people exist Before they're allowed to be free? Yes, and how many times can a man turn his head And pretend that he just doesn't see? The answer, my friend, is blowin' in the wind The answer is blowin' in the wind Yes, and how many times must a man look up Before he can really see the sky? Yes, and how many ears must one man have Before he can hear people cry? Yes, and how many deaths will it take 'til he knows That too many people have died? The answer, my friend, is blowin' in the wind The answer is blowin' in the wind
Girl from the North Country;2;The Freewheelin' Bob Dylan;1963;If you're travelin' the north country fair Where the winds hit heavy on the borderline Remember me to one who lives there For she once was a true love of mine If you go when the snowflakes storm When the rivers freeze and summer ends Please see if she has a coat so warm To keep her from the howling winds Please see if her hair hangs long If it rolls and flows all down her breast Please see for me if her hair's hangin' long For that's the way I remember her best I'm a-wondering if she remembers me at all Many times I've often prayed In the darkness of my night In the brightness of my day So if you're travelin' the north country fair Where the winds hit heavy on the borderline Remember me to one who lives there For she once was a true love of mine
Masters of War;3;The Freewheelin' Bob Dylan;1963;Come, you masters of war You that build the big guns You that build the death planes You that build all the bombs You that hide behind walls You that hide behind desks I just want you to know I can see through your masks You that never done nothing But build to destroy You play with my world Like it's your little toy You put a gun in my hand And you hide from my eyes And you turn and run farther When the fast bullets fly Like Judas of old You lie and deceive A world war can be won You want me to believe But I see through your eyes And I see through your brain Like I see through the water That runs down my drain You fasten all the triggers For the others to fire Then you set back and watch While the death count gets higher You hide in your mansion While the young people's blood Flows out of their bodies And is buried in the mud You've thrown the worst fear That can ever be hurled Fear to bring children Into the world For threatening my baby Unborn and unnamed You ain't worth the blood That runs in your veins How much do I know To talk out of turn You might say that I'm young You might say I'm unlearned But there's one thing I know Though I'm younger than you That even Jesus would never Forgive what you do Let me ask you one question Is your money that good Will it buy you forgiveness Do you think that it could I think you will find When your death takes its toll All the money you made Will never buy back your soul And I hope that you die And your death will come soon I will follow your casket By the pale afternoon And I'll watch while you're lowered Down to your deathbed And I'll stand over your grave 'Til I'm sure that you're dead
Down the Highway;4;The Freewheelin' Bob Dylan;1963;Well, I'm walking down the highway With my suitcase in my hand Yes, I'm walking down the highway With my suitcase in my hand Lord, I really miss my baby She's in some foreign land Well, your streets are getting empty Lord, your highway's getting filled And your streets are getting empty And your highway's getting filled Well, the way I love that woman I swear it's bound to get me killed Well, I've been gambling so long Lord, I ain't got much more to lose Yes, I've been gambling so long Lord, I ain't a-got much more to lose Right now I'm having trouble Please don't take away my highway shoes Well, I'm bound to get lucky, baby Or I'm bound to die trying Yes, I'm a-bound to get lucky, baby Lord, Lord, I'm a-bound to die trying Well, meet me in the middle of the ocean And we'll leave this old highway behind Well, the ocean took my baby My baby stole my heart from me Yes, the ocean took my baby My baby took my heart from me She packed it all up in a suitcase Lord, she took it away to Italy, Italy So, I'm a-walking down your highway Just as far as my poor eyes can see Yes, I'm a-walking down your highway Just as far as my eyes can see From the Golden Gate Bridge All the way to the Statue of Liberty
Bob Dylan's Blues;5;The Freewheelin' Bob Dylan;1963;Unlike most of the songs nowadays that have been written up in Tin Pan Alley, that's where most of the folk songs come from nowadays, this, this is a song, this wasn't written up there, this was written somewhere down in the United States Well, the Lone Ranger and Tonto They are riding down the line Fixing everybody’s troubles Everybody’s except mine Somebody must have told them That I was doing fine Oh you five and ten cent women With nothing in your heads I got a real gal I’m loving And Lord I’ll love her till I’m dead Go away from my door and my window too Right now Lord, I am not going down to no race track See no sports car run I don’t have no sports car And I don’t even care to have one I can walk anytime around the block Well, the wind keeps a-blowing me Up and down the street With my hat in my hand And my boots on my feet Watch out so you don’t step on me Well, look it here buddy You want to be like me Pull out your six-shooter And rob every bank you can see Tell the judge I said it was all right Yes!
A Hard Rain's a-Gonna Fall;6;The Freewheelin' Bob Dylan;1963;Oh, where have you been, my blue-eyed son? And where have you been, my darling young one? I've stumbled on the side of twelve misty mountains I've walked and I've crawled on six crooked highways I've stepped in the middle of seven sad forests I've been out in front of a dozen dead oceans I've been ten thousand miles in the mouth of a graveyard And it's a hard, and it's a hard, it's a hard, it's a hard It's a hard rain's a-going to fall Oh, what did you see, my blue-eyed son? And what did you see, my darling young one? I saw a newborn baby with wild wolves all around it I saw a highway of diamonds with nobody on it I saw a black branch with blood that kept dripping I saw a room full of men with their hammers a-bleeding I saw a white ladder all covered with water I saw ten-thousand talkers whose tongues were all broken I saw guns and sharp swords in the hands of young children And it's a hard, it's a hard, it's a hard, and it's a hard It's a hard rain's a-going to fall And what did you hear, my blue-eyed son? And what did you hear, my darling young one? I heard the sound of a thunder that roared out a warning I heard the roar of a wave that could drown the whole world I heard one hundred drummers whose hands were a-blazing I heard ten-thousand whispering and nobody listening I heard one person starve, I heard many people laughing I heard the song of a poet who died in the gutter I heard the sound of a clown who cried in the alley And it's a hard, it's a hard, it's a hard, it's a hard It's a hard rain's a-going to fall Oh, what did you meet, my blue-eyed son? And who did you meet, my darling young one? I met a young child beside a dead pony I met a white man who walked a black dog I met a young woman, her body was burning I met a young girl, she gave me a rainbow I met one man who was wounded in love I met another man who was wounded in hatred And it's a hard, it's a hard, it's a hard, it's a hard It's a hard rain's a-going to fall And what will you do now, my blue-eyed son? And what will you do now, my darling young one? I'm a-going back out 'fore the rain starts a-falling I'll walk to the depths of the deepest dark forest Where the people are many and their hands are all empty Where the pellets of poison are flooding their waters Where the home in the valley meets the damp dirty prison And the executioner's face is always well hidden Where hunger is ugly, where the souls are forgotten Where black is the color, where none is the number And I'll tell it, and speak it, and think it, and breathe it And reflect from the mountain so all souls can see it Then I'll stand on the ocean until I start sinking But I'll know my song well before I start singing And it's a hard, it's a hard, it's a hard, and it's a hard It's a hard rain's a-going to fall
Don't Think Twice, It's All Right;7;The Freewheelin' Bob Dylan;1963;Well it ain't no use to sit and wonder why, babe If'n you don't know by now And it ain't no use to sit and wonder why, babe It'll never do somehow When your rooster crows at the break of dawn Look out your window and I'll be gone You're the reason I'm a-traveling on But don't think twice, it's all right And it ain't no use in turning on your light, babe The light I never knowed And it ain't no use in turning on your light, babe I'm on the dark side of the road But I wish there was something you would do or say To try and make me change my mind and stay But we never did too much talking anyway But don't think twice, it's all right So it ain't no use in calling out my name, gal Like you never done before And it ain't no use in calling out my name, gal I can't hear you anymore I'm a-thinking and a-wondering, walking down the road I once loved a woman, a child I'm told I gave her my heart but she wanted my soul But don't think twice, it's all right So long, honey babe Where I'm bound, I can't tell Goodbye's too good a word, babe So I'll just say fare thee well I ain't a-saying you treated me unkind You could've done better, but I don't mind You just kinda wasted my precious time But don't think twice, it's all right
Bob Dylan's Dream;8;The Freewheelin' Bob Dylan;1963;While riding on a train going west I fell asleep for to take my rest I dreamed a dream that made me sad Concerning myself and the first few friends I had With half-damp eyes I stared to the room Where my friends and I spent many an afternoon Where we together weathered many a storm Laughin and singin till the early hours of the morn By the old wooden stove where our hats was hung Our words was told, our songs was sung Where we longed for nothing and were satisfied Jokin and talkin about the world outside With hungry hearts through the heat and cold We never much thought we could get very old We thought we could sit forever in fun And our chances really was a million to one As easy it was to tell black from white It was all that easy to tell wrong from right And our choices, they were few so the thought never hit That the one road we traveled would ever shatter or split How many a year has passed and gone Many a gamble has been lost and won And many a road taken by many a first friend And each one I've never seen again I wish, I wish, I wish in vain That we could sit simply in that room again Ten thousand dollars at the drop of a hat And I'd give it all gladly if our lives could be like that
Oxford Town;9;The Freewheelin' Bob Dylan;1963;Oxford Town, Oxford Town Everybody's got their heads bowed down The sun don't shine above the ground I am a-going down to Oxford Town He went down to Oxford Town Guns and clubs followed him down All because his face was brown Better get away from Oxford Town Oxford Town around the bend Come in to the door, he couldn't get in All because of the color of his skin What do you think about that, my friend? Me, my girl, my girl's son We got met with a tear gas bomb I don't even know why we come Going back where we come from Oxford Town in the afternoon Everybody singing a sorrowful tune Two men died beneath the Mississippi moon Somebody better investigate soon
Talkin' World War III Blues;10;The Freewheelin' Bob Dylan;1963;"One time ago a crazy dream came to me I dreamt I was walking to World War Three I went to the doctor the very next day To see what kind of words he could say He said it was a bad dream ""I wouldn't worry about it none, though Them old dreams are only in your head"" I said “Hold it Doc, a World War passed through my brain” He said “Nurse, get your pad, the boy's insane” He grabbed my arm, I said “Ouch!”As I landed on the psychiatric couch He said “Tell me about it” Well, the whole thing started at 3 o'clock fast It was all over by a quarter past I was down in the sewer with some little lover When I peeked out from a manhole cover Wondering who turned the lights on us Well, I got up and I walked around Up and down the lonesome town I stood a-wondering which way to go I lit a cigarette on a parking meter And walked on down the road It was a normal day Well, I rung the fallout shelter bell And I leaned my head and I give a yell “Give me a string bean, I'm a hungry man”A shotgun fired, and away I ran I don't blame him too much though, he didn't know me Down at the corner by the hot-dog stand I seen a man I said “Howdy friend, I guess there's just us two” He screamed a bit, and away he flew Thought I was a Communist Well, I spied me a girl and before she could leave I said “Let's go and play Adam and Eve” I took her by the hand, and my heart was thumping When she said “Hey man, you crazy or something? You seen what happened last time they started” Well, I seen me a Cadillac window uptown There was nobody around I got into the driver's seat And I drove down 42nd Street In my Cadillac Good car to drive after a war Well, I remember seeing some ad So I turned on my Conelrad But I didn't pay the Con Ed bill So the radio didn't work so well Turned on my record player — It was Rock-a-day Johnny, singing “Tell Your Ma, Tell Your Pa Our Love's A-going to Grow, Ooh-wah, Ooh-wah” I was feeling kind of lonesome and blue I needed somebody to talk to So I called up the operator of time Just to hear a voice of some kind “When you hear the beep it will be three o'clock” She said that for over an hour And I hung up Well, the doctor interrupted me just about then Saying “Hey I've been having the same old dreams But mine was a little different, you see I dreamt the only person left after the war was me I didn't see you around"" Well, now time passed and now it seems Everybody's having them dreams Everybody sees their self Walking around with no one else ""Half of the people can be part right all of the time And some of the people can be all right part of the time But all of the people can't be all right all of the time"" I think Abraham Lincoln said that“I'll let you be in my dream if I can be in yours” I said that"
Corrina, Corrina;11;The Freewheelin' Bob Dylan;1963;Corrina, Corrina Girl, where you been so long? Corrina, Corrina Girl, where you been so long? I been worrying about you, baby Baby, please come home I got a bird that whistles I got a bird that sings I got a bird that whistles I got a bird that sings But I ain't got Corrina Life don't mean a thing Corrina, Corrina Girl, you're on my mind Corrina, Corrina Girl, you're on my mind I'm a-sittin down thinkin of you I just can't keep from crying
Honey, Just Allow Me One More Chance;12;The Freewheelin' Bob Dylan;1963;Honey, just allow me one more chance To get along with you Honey, just allow me one more chance I'll do anything for you Well, I'm a-walking down the road With my head in my hand I'm looking for a woman Needs a worried man Just a-one kind favor I ask you Loan me just a one more chance Honey, just allow me one more chance To ride your airplane Honey, just allow me one more chance To ride your passenger train Well, I've been looking all over For a girl like you I can't find no better So you'll have to do There's just-a one kind favor I ask you Loan me just-a one more chance Honey, just allow me one more chance To get along with you Honey, just allow me one more chance I'll do anything for you Well, looking for a woman That ain't got no man Is just looking for a needle That's lost in the sand Just-a one kind favor I ask you Loan me just-a one more chance
I Shall Be Free;13;The Freewheelin' Bob Dylan;1963;"Well, I took me a woman late last night I's three-fourths drunk, she looked alright 'Til she started peeling off her onion gook Took off her wig, said, “How do I look?"" I's high flying, bare-naked Out the window Well, sometimes I might get drunk Walk like a duck and smell like a skunk Don't hurt me none, it don't hurt my pride Because I got my little lady right by my side She's a tryin to hide, pretendin' she don't know me I's out there painting on the old woodshed When a can of black paint, it fell on my head I went down to scrub and rub But I had to sit in back of the tub Cost a quarter Half price Well, my telephone rang, it would not stop It's President Kennedy calling me up He said, “My friend, Bob What do we need to make the country grow?” I said, “My friend, John, Brigitte Bardot Anita Ekberg Sophia Loren” Country'll grow Well, I got a woman, five feet short She yells and hollers and screams and snorts She tickles my nose, pats me on the head Rolls me over and kicks me out of bed She's a man-eater, meat-grinder, bad loser Oh, there ain't no use in me working all the time I got a woman who works herself blind Works up to her britches, up to her neck Writes me letters and sends me checks She's a humdinger Folk singer Late one day in the middle of the week Eyes were closed, I was half asleep I chased me a woman up the hill Right in the middle of an air-raid drill I jumped a fallout shelter I jumped a string bean I jumped a TV dinner I jumped a shotgun Now, the man on the stand, he wants my vote He's a-running for office on the ballot note He's out there preaching in front of the steeple Telling me he loves all kinds of people He's eatin' bagels He's eatin' pizza He's eatin' chitlins Oh, set me down on a television floor I'll flip the channel to number four Out of the shower comes a football man With a bottle of oil in his hand Greasy kid stuff What I want to know, Mr. Football Man, is What do you do about Willy Mays Martin Luther King Olatunji Well, the funniest woman I ever seen Was the great-granddaughter of Mr. Clean She takes about fifteen baths a day Wants me to grow a mustache on my face She's insane Well, they ask me why I'm drunk all the time It levels my head and eases my mind I just walk along and stroll and sing I see better days and I do better things I catch dinosaurs Make love to Elizabeth Taylor Catch hell from Richard Burton"
All I Really Want to Do;1;Another Side of Bob Dylan;1964;I ain't lookin' to compete with you Beat or cheat or mistreat you Simplify you, classify you Deny, defy or crucify you All I really want to do Is, baby, be friends with you No, and I ain't lookin' to fight with you Frighten you or uptighten you Drag you down or drain you down Chain you down or bring you down All I really want to do Is, baby, be friends with you I ain't lookin' to block you up Shock or knock or lock you up Analyze you, categorize you Finalize you or advertise you All I really want to do Is, baby, be friends with you I don’t wanta' straight-face you Race or chase you, track or trace you Or disgrace you or displace you Or define you or confine you All I really want to do Is, baby, be friends with you I don’t wanta' meet your kin Make you spin or do you in Or select you or dissect you Or inspect you or reject you All I really want to do Is, baby, be friends with you I don’t wanta' fake you out Take or shake or forsake you out I ain't lookin' for you to feel like me See like me or be like me All I really want to do Is, baby, be friends with you
The Times They Are A-Changin';1;The Times They Are A-Changin';1964;Come gather 'round people, wherever you roam And admit that the waters around you have grown And accept it that soon you'll be drenched to the bone If your time to you is worth saving Then you better start swimmin' or you'll sink like a stone For the times they are a-changin'Come writers and critics, who prophesize with your pen And keep your eyes wide, the chance won't come again And don't speak too soon For the wheel's still in spin And there's no tellin' who that it's namin'For the loser now will be later to win For the times they are a-changin'Come senators, congressmen, please heed the call Don't stand in the doorway, don't block up the hall For he that gets hurt will be he who has stalled The battle outside ragin' Will soon shake your windows and rattle your walls For the times they are a-changin'Come mothers and fathers throughout the land And don't criticize what you can't understand Your sons and your daughters are beyond your command Your old road is rapidly aging Please get outta' the new one if you can't lend your hand For the times they are a-changin' The line it is drawn, the curse it is cast The slow one now will later be fast As the present now will later be past The order is rapidly fading And the first one now will later be last For the times they are a-changin'
Ballad of Hollis Brown;2;The Times They Are A-Changin';1964;Hollis Brown He lived on the outside of town Hollis Brown He lived on the outside of town With his wife and five children And his cabin broken down He looked for work and money And he walked a ragged mile He looked for work and money And ya' walked a ragged mile Your children are so hungry That they don't know how to smile Your baby's eyes look crazy They're a-tugging at your sleeve Your baby's eyes look crazy They're a-tugging at your sleeve You walk the floor and wonder why With every breath you breathe The rats have got your flour Bad blood it got your mare The rats have got your flour Bad blood it got your mare If there's anyone that knows Is there anyone that cares? He prayed to the Lord above Oh please send you a friend He prayed to the Lord above Oh please send you a friend Your empty pockets tell ya' That you ain't a-got no friend Your babies are crying louder now It's a-poundin' on your brain Your babies are crying louder now It's a-poundin' on your brain Your wife's screams are stabbin' ya' Like the dirty drivin' rain Your grass is turnin' black There's no water in your well Your grass is turnin' black There's no water in your well You spent your last lone dollar On seven shotgun shells Way out in the wilderness A cold coyote calls Way out in the wilderness A cold coyote calls Your eyes fix on the shotgun That's hanging on the wall Your brain is a-bleedin' And your legs can't seem to stand Your brain is a-bleedin' And your legs can't seem to stand Your eyes fix on the shotgun That you're holding in your hand There's seven breezes blowin' All around the cabin door There's seven breezes blowin' All around the cabin door Seven shots ring out Like the ocean's poundin' roar There's seven people dead On a South Dakota farm There's seven people dead On a South Dakota farm Somewheres in the distance There's seven new people born
Black Crow Blues;2;Another Side of Bob Dylan;1964;I woke in the mornin', wandering Weary and worn out I woke in the morning', wandering Weary and worn out Wishin' my long-lost lover Would walk to me, and talk to me Tell me what it's all about I was standin' at the side road Listenin' to the billboard knock Standin' at the side road Listenin' to the billboard knock Well, my wrist was empty But my nerves were kickin' Tickin' like a clock Well I got anything you need, babe Let me tell you in front If I got anything you need, babe Let me tell you in front You can come to me sometime Night time, day time Any time you want Sometimes I'm thinkin' I'm Too high to fall Sometimes I'm thinkin' I'm Much too high to fall Other times I'm thinkin' I'm So low I don't know If I can come up at all Black crows in the meadow Sleepin' across a broad highway Black crows in the meadow Across a broad highway Though it's funny, honey I'm outta' touch, don't feel much like a Scarecrow today
Spanish Harlem Incident;3;Another Side of Bob Dylan;1964;Gypsy gal, the hands of Harlem Cannot hold you to its heat Your temperature is too hot for taming Your flaming feet are burning up the street I'm homeless, come and take me To the reach of your rattlin' drums Let me know, babe, all about my fortune Down along my restless palms Gypsy gal, you got me swallowed I have fallen far beneath Your pearly eyes, so fast and slashing And your flashing diamond teeth The night is pitch black, come an' make my Pale face fit into place, ah, please! Let me know, babe, I'm nearly drowning If it's you my lifelines trace I been wondering all about me Ever since I seen you there On the cliffs of your wildcat charms I'm riding I know I'm around you but I don't know where You have slayed me, you have made me I got to laugh half ways off my heels I got to know, babe, yeah will you surround me? So I can know if I'm really real
With God on Our Side;3;The Times They Are A-Changin';1964;Oh my name it ain't nothin' My age it means less The country I come from Is called the Midwest I's taught and brought up there The laws to abide And that the land that I live in Has God on its side Oh the history books tell it They tell it so well The cavalries charged The Indians fell The cavalries charged The Indians died Ah the country was young With God on its side The Spanish-American War had its day And the Civil War too Was soon laid away And the names of the heroes I's made to memorize With guns in their hands And God on their side The First World War boys It came and it went The reason for fightin' I never did get But I learned to accept it Accept it with pride For you don't count the dead When God's on your side The Second World War Came to an end We forgave the Germans And then we were friends Though they murdered six million In the ovens they fried The Germans now too Have God on their side I've learned to hate the Russians All through my whole life If another war comes It's them we must fight To hate them and fear them To run and to hide And accept it all bravely With God on my side But now we got weapons Of chemical dust If fire them we're forced to Then fire them we must One push of the button And a shot the world wide And ya' never ask questions When God's on your side Through many dark hour I been thinking about this That Jesus Christ Was betrayed by a kiss But I can't think for ya' You'll have to decide Whether Judas Iscariot Had God on his side So now as I'm leavin'I'm weary as Hell The confusion I'm feelin' Ain't no tongue can tell The words fill my head And they fall to the floor If God's on our side He'll stop the next war
